Date,Description,Amount,Type
2026-04-01,SALARY DEPOSIT,5200.00,credit
2026-04-02,TIM HORTONS #4521,-5.75,debit
2026-04-02,SHELL GAS STATION,-52.30,debit
2026-04-03,COSTCO WHOLESALE,-187.45,debit
2026-04-04,NETFLIX.COM,-15.99,debit
2026-04-05,SPOTIFY,-9.99,debit
2026-04-05,UBER EATS,-34.50,debit
2026-04-07,AMAZON.CA,-89.99,debit
2026-04-08,LOBLAWS #1234,-125.60,debit
2026-04-09,STARBUCKS,-6.25,debit
2026-04-10,AWS SERVICES,-45.00,debit
2026-04-10,ANTHROPIC API,-20.00,debit
2026-04-11,TIM HORTONS #4521,-5.75,debit
2026-04-12,PETRO CANADA,-48.90,debit
2026-04-13,SHOPPERS DRUG MART,-32.15,debit
2026-04-14,UBER,-18.50,debit
2026-04-15,E-TRANSFER FROM PARTNER,2000.00,credit
2026-04-15,RENT PAYMENT,-1800.00,debit
2026-04-16,TD INSURANCE AUTO,-185.00,debit
2026-04-17,SUN LIFE PREMIUM,-95.00,debit
2026-04-18,KUMON LEARNING,-150.00,debit
2026-04-19,COSTCO WHOLESALE,-210.30,debit
2026-04-20,TIM HORTONS #4521,-5.75,debit
2026-04-21,GOODLIFE FITNESS,-55.00,debit
2026-04-22,BEST BUY,-349.99,debit
2026-04-23,INTERAC E-TRANSFER,-500.00,debit
2026-04-24,GOOGLE WORKSPACE,-17.50,debit
2026-04-25,NOTION LABS,-10.00,debit
2026-04-26,GITHUB INC,-4.00,debit
2026-04-27,REAL CANADIAN SUPERSTORE,-98.75,debit
2026-04-28,SKIP THE DISHES,-28.90,debit
2026-04-29,PRESTO TRANSIT,-120.00,debit
2026-04-30,INTEREST EARNED,12.50,credit
